,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Status,Estimated road traffic death rate,Age-standardized suicide rates,Population using safely managed drinking-water services (%),Population using safely managed sanitation services (%),Region
0,Afghanistan,58.19375,269.0625,78.25,0.014375,34.960110065937506,64.5625,2362.25,15.51875,107.5625,48.375,8.2525,52.3125,0.1,340.01542546875004,9972259.8125,16.58125,15.58125,0.415375,8.212500000000002,Developing,14.645625,7.049375,16.724375,50.36647619047619,Eastern Mediterranean
1,Albania,75.15624999999999,45.0625,0.6875,4.84875,193.25909071062503,98.0,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.1,2119.7266788750003,696911.625,1.61875,1.7,0.709875,12.137499999999998,Developing,14.352500000000001,6.140208333333334,58.218125,43.151250000000005,Europe
2,Algeria,73.61874999999999,108.1875,20.3125,0.4066666666666668,236.18524066862503,78.0,1943.875,48.74375,23.5,91.75,4.604,91.875,0.1,2847.8533923125,21649827.4375,6.09375,5.975,0.694875,12.712499999999997,Developing,22.13,3.52125,73.66,20.22625,Africa
3,Angola,49.01875,328.5625,83.75,5.740666666666666,102.10026836999998,70.22222222222223,3561.3125,18.01875,132.625,46.125,3.9193333333333342,47.6875,2.36875,1975.1430451187496,10147099.1875,6.1937500000000005,6.668750000000001,0.4583749999999999,8.043750000000001,Developing,24.91875,15.771875,20.582302631578948,15.728312500000001,Africa
4,Antigua and Barbuda,75.05624999999999,127.5,0.0,7.949333333333333,1001.58522632875,98.26666666666668,0.0,38.425,0.0,96.9375,4.791333333333333,98.3125,0.125,9759.305728124998,11056231.956521738,3.4250000000000003,3.375,0.4886249999999999,8.84375,Developing,5.09375,0.7966666666666667,68.75443587662338,43.34714133522727,Americas
5,Argentina,75.15624999999999,106.0,10.125,7.966666666666667,773.0389813131252,81.28571428571429,2.0,54.98125,11.375,93.375,6.9126666666666665,92.375,0.1,6998.575103125,20121204.5,1.0749999999999995,0.95,0.794125,16.50625,Developing,12.580625,9.081666666666667,68.75443587662338,49.438125,Americas
6,Armenia,73.39999999999999,117.375,1.0,3.7026666666666666,131.0074187505,87.5625,274.25,44.70625,1.0,89.125,4.8613333333333335,87.375,0.1,1999.9863176500005,1015164.625,2.0375,2.1125000000000007,0.698375,11.7875,Developing,17.93875,4.632291666666666,81.2975,51.63375,Europe
7,Australia,81.81250000000001,63.1875,1.0,10.155333333333331,5332.2264727375,93.4,103.9375,55.8625,1.375,86.75,8.836666666666668,86.875,0.1,34637.565046874995,4587009.875,0.66875,0.6249999999999998,0.9181249999999996,20.0375,Developed,7.355625,10.426875,55.21810267857143,62.7775,Western Pacific
8,Austria,81.48124999999999,65.75,0.0,12.236,4928.439188052499,81.0625,77.25,48.287500000000016,0.0,86.0,4.715333333333334,86.75,0.1,33827.47630875,6474879.875,1.7312499999999995,1.9374999999999996,0.862375,15.3875,Developed,8.679375,13.1475,97.91875,99.656875,Europe
9,Azerbaijan,70.73124999999999,115.1875,6.0625,0.992,131.1487469148125,59.21428571428572,598.1875,43.84375000000001,7.1875,75.8125,5.679333333333334,82.3125,0.1,3302.9478069937504,2157370.5,2.9000000000000004,2.94375,0.7026874999999999,11.35,Developing,12.144375,4.404791666666667,71.703125,23.1675,Europe
10,Bahamas,74.28750000000001,152.0625,0.0,10.271333333333333,0.0,83.6,0.0,52.88125,0.0,95.0,6.706,95.75,0.11875,5329.105300112037,11056231.956521738,2.5500000000000007,2.5187500000000003,0.7379375000000001,12.425,Developing,15.301874999999999,3.2895833333333333,68.75443587662338,43.34714133522727,Americas
11,Bahrain,75.72500000000001,65.375,0.0,1.9346666666666663,602.0871396488749,98.125,6.6875,51.65625000000001,0.0,98.0,3.807333333333333,98.0625,0.1,11191.247420625004,15424546.5875,6.10625,5.950000000000001,0.8079374999999998,14.1125,Developing,13.429375,7.285,98.930625,77.27625,Eastern Mediterranean
12,Bangladesh,69.3,141.375,153.625,0.01,32.32097151468751,77.61538461538461,4649.9375,12.875,201.5625,87.5,2.8546666666666662,92.75,0.1,443.5614810250001,42985163.875,13.775,14.33125,0.517875,8.693750000000001,Developing,15.674375000000001,5.086666666666667,55.273125,25.718125,South-East Asia
13,Barbados,74.35625,77.625,0.0,8.206666666666669,389.07699521375,84.06666666666666,0.0,45.975,0.0,80.3125,6.122,89.9375,0.25625,12017.098529375,11056231.956521738,3.95625,3.9187500000000006,0.7704375,14.89375,Developing,10.961875000000001,0.9899374999999999,68.75443587662338,43.34714133522727,Americas
14,Belarus,69.90625,218.75,0.5625,13.497333333333332,329.04645533312504,88.9375,24.8125,54.74375,0.875,89.875,6.192000000000001,92.1875,0.1,3811.525348,6371866.8125,2.2125,2.3375,0.7432499999999999,14.75,Developing,19.609375,32.507083333333334,87.125625,81.093125,Europe
15,Belgium,80.68124999999999,70.1875,0.25,11.042666666666666,2392.4326567562507,74.5,81.5625,50.89375,1.0,97.75,5.962000000000001,97.3125,0.1,16915.305999999997,2884042.5625,0.8625000000000004,0.8562500000000004,0.8777500000000001,16.7875,Developed,10.295625,16.639375,99.485625,78.139375,Europe
16,Belize,69.26875,155.5,0.0,6.252666666666668,365.84348979312506,94.75,0.0,37.67499999999999,0.0,95.5,5.039333333333333,95.1875,0.43125,3933.0121745,170392.875,3.5562500000000004,3.4875000000000003,0.6939374999999999,12.45625,Developing,26.921875,7.609375,68.75443587662338,43.34714133522727,Americas
17,Benin,57.56875,269.375,25.0,1.0,43.99195641925,62.57142857142857,1116.875,19.6125,39.25,67.6875,4.636,67.9375,1.7062500000000005,561.167968,3942978.9375,8.25,8.1375,0.4380624999999999,8.85,Developing,27.93125,14.794375,20.582302631578948,15.728312500000001,Africa
18,Bhutan,66.1625,230.25,0.6875,0.2786666666666667,134.76406995375,94.125,80.25,17.581249999999997,0.9375,89.375,5.346,93.875,0.3562499999999999,1353.98694560625,492584.9375,17.21875,17.925,0.183875,10.225,Developing,13.3925,5.684375,32.358125,63.76125,South-East Asia
19,Bolivia (Plurinational State of),67.70625,177.5,10.75,3.212,0.0,82.875,7.625,44.81875,14.0,81.6875,5.626,87.375,0.15625,5329.105300112037,11056231.956521738,1.3,1.1874999999999996,0.6337499999999999,13.9625,Developing,17.475625,7.380416666666666,68.75443587662338,35.999375,Americas
20,Bosnia and Herzegovina,75.96875000000001,64.9375,0.0,4.405333333333333,215.45745909825,71.66666666666667,319.1875,48.9625,0.0,78.3125,8.741999999999999,78.5,0.1,2245.0260235625,1986993.0625,2.78125,2.75625,0.450375,12.225,Developing,17.123125,8.664375,88.203125,23.74875,Europe
21,Botswana,56.05,448.125,2.0,4.67,334.2669708721875,87.3125,237.875,32.24375,3.125,96.1875,5.510666666666666,95.8125,16.525000000000002,4498.285431187499,1063867.375,7.4375,7.8125,0.6303749999999999,12.1375,Developing,26.075,36.927083333333336,20.582302631578948,15.728312500000001,Africa
22,Brazil,73.38125,150.6875,68.25,7.213333333333333,390.695595171875,96.1875,95.375,47.0625,77.25,98.3125,8.019333333333332,97.9375,0.1,6143.161793500001,88128071.25,3.05,3.0125,0.7101875,14.1625,Developing,22.3075,5.137083333333334,78.640625,39.15,Americas
23,Brunei Darussalam,76.48750000000001,67.0625,0.0,0.3786666666666667,1276.879485248125,97.875,7.3125,29.71875,0.0,97.5,2.8200000000000003,96.8125,0.1,19744.808101875,4935281.544642857,6.199999999999999,5.674999999999999,0.839375,14.10625,Developing,12.147499999999999,1.724375,55.21810267857143,56.17975961538461,Western Pacific
24,Bulgaria,72.85,125.5,0.9375,10.865333333333332,350.74520402624995,94.5,1530.3125,54.50000000000001,1.0,94.25,7.236,94.0,0.1,4938.981821375001,5290923.9375,2.13125,2.15625,0.7546249999999999,13.725,Developed,11.786875,9.790416666666667,93.55125,53.25125,Europe
25,Burkina Faso,55.64374999999999,252.5,44.75,4.241333333333333,52.0455813263125,81.1,5091.75,15.499999999999998,79.9375,69.0,6.037999999999999,77.3125,1.8375,410.3720343125,6143694.8125,7.41875,6.9812499999999975,0.2296875,5.40625,Developing,29.2775,16.842291666666664,20.582302631578948,15.728312500000001,Africa
26,Burundi,55.5375,291.5625,23.25,4.103333333333334,15.335497774875002,93.33333333333331,1349.5,15.312500000000002,35.5625,86.625,7.089333333333333,85.75,3.0875000000000004,137.81532131875,3915446.6875,8.01875,8.012500000000001,0.3278749999999999,7.481250000000001,Developing,32.09625,17.341666666666665,20.582302631578948,15.728312500000001,Africa
27,Cabo Verde,72.51875,116.1875,0.0,3.448,188.6329873781875,80.64285714285714,0.125,24.375,0.0,84.375,4.755333333333334,79.0,0.53125,2023.54103925,292600.25,8.012500000000001,7.975,0.57,12.2,Developing,23.595,18.746041666666667,20.582302631578948,15.728312500000001,Africa
28,Cambodia,64.34375,196.375,16.75,1.4860000000000002,33.7965609773125,79.6,1880.8125,15.362500000000004,20.5,74.1875,5.740666666666668,72.0625,1.025,466.19687805,7145967.4375,10.14375,10.88125,0.4919374999999999,9.874999999999998,Developing,17.633125,6.611041666666666,20.74125,56.17975961538461,Western Pacific
29,Cameroon,54.01875,294.875,54.9375,4.141333333333334,44.46229993868749,76.81818181818181,2979.25,23.61875,86.1875,72.5,4.719333333333334,69.4375,6.212500000000001,781.0160044124999,9967291.9375,6.550000000000001,6.606249999999999,0.47,8.90625,Developing,28.265,19.819375,20.582302631578948,15.728312500000001,Africa
30,Canada,81.6875,64.625,2.0,8.053333333333333,4694.078971425001,28.846153846153847,129.5,55.86249999999999,2.0,85.3125,7.052000000000001,91.0625,0.1,29382.907523125003,11364053.8125,0.50625,0.4375000000000001,0.8921875000000001,15.875000000000004,Developing,7.979375,10.375,98.423125,79.913125,Americas
31,Central African Republic,48.51250000000001,333.0625,16.5,1.2313333333333334,40.905543112125,42.57142857142857,699.4375,17.0875,24.5,41.3125,4.039333333333334,42.4375,8.981250000000001,363.05590484999993,2016546.125,7.106250000000001,7.087500000000001,0.3355,6.2375,Developing,32.3625,29.36,7.575,17.93125,Africa
32,Chad,50.3875,227.75,44.875,0.4113333333333333,32.277320497062505,29.875,4687.75,16.318749999999998,78.125,32.875,4.379333333333333,26.8125,4.3375,484.7916940562499,4114092.0625,7.14375,7.043750000000001,0.316625,6.0875,Developing,25.164375,15.845625,5.606875,8.8575,Africa
33,Chile,79.44999999999999,63.625,2.0,6.978,775.5408127837499,77.2,1.0625,55.5875,2.1875,83.625,6.911333333333334,88.8125,0.1,6202.344363562499,14671763.9375,0.8875000000000001,0.9125,0.8013125,14.9,Developing,14.74,10.378541666666667,95.329375,59.40375,Americas
34,China,74.2625,73.75,294.875,4.182000000000001,73.5837628956875,80.4375,65857.9375,21.80625,350.0,93.6875,4.918,93.3125,0.1,2345.3031576875,321812.0625,4.6375,4.025,0.66025,11.4375,Developing,20.53,10.820625,55.21810267857143,29.45625,Western Pacific
35,Colombia,73.28750000000001,124.25,13.875,4.419333333333333,516.640179215,79.0,9.5,49.54375,16.375,84.25,6.34,79.1875,0.1,3321.6607483124994,31767432.625,2.3000000000000003,2.075,0.6818750000000001,12.231250000000005,Developing,17.623125,4.396458333333333,70.943125,16.38125,Americas
